ID,Actual Class,Predicted Class,Posterior Probability
8607, <=50K, <=50K,0.84
20406, <=50K, <=50K,0.72
5955, <=50K, <=50K,1.0
27973, >50K, <=50K,0.76
24180, <=50K, <=50K,0.96
21644, <=50K, <=50K,0.76
20016, <=50K, <=50K,0.92
12055, <=50K, <=50K,0.72
17159, <=50K, <=50K,1.0
28325, <=50K, <=50K,0.8
18839, <=50K, <=50K,0.72
27193, >50K, <=50K,0.56
10118, <=50K, <=50K,0.88
22934, >50K, >50K,0.56
8581, <=50K, <=50K,1.0
19244, <=50K, <=50K,0.96
15583, <=50K, <=50K,1.0
32378, <=50K, <=50K,0.68
18279, <=50K, <=50K,0.64
29563, <=50K, <=50K,0.8
29196, <=50K, <=50K,1.0
8876, <=50K, <=50K,0.92
10407, >50K, >50K,0.6
31905, <=50K, <=50K,0.96
20068, <=50K, <=50K,0.76
30339, <=50K, >50K,0.6
15100, <=50K, <=50K,0.56
13168, <=50K, <=50K,1.0
21336, <=50K, <=50K,0.96
4931, <=50K, <=50K,0.96
18540, <=50K, <=50K,0.92
7726, <=50K, <=50K,0.92
31142, <=50K, <=50K,1.0
19460, >50K, <=50K,0.64
16666, <=50K, >50K,0.52
13027, >50K, <=50K,0.68
28482, <=50K, <=50K,0.84
11781, >50K, >50K,0.6
9326, <=50K, <=50K,0.6
5521, <=50K, <=50K,1.0
5571, >50K, <=50K,0.68
15595, <=50K, <=50K,1.0
8184, <=50K, <=50K,0.64
6996, <=50K, <=50K,1.0
21815, <=50K, <=50K,1.0
1542, <=50K, >50K,0.64
22670, <=50K, <=50K,0.72
11382, <=50K, >50K,0.56
13227, <=50K, <=50K,0.96
26553, <=50K, <=50K,0.88
29718, >50K, >50K,0.52
9138, <=50K, <=50K,0.84
31083, >50K, <=50K,0.8
23556, <=50K, <=50K,0.96
22196, <=50K, <=50K,0.76
1709, <=50K, <=50K,0.88
12780, >50K, <=50K,0.68
15452, <=50K, <=50K,1.0
18116, <=50K, <=50K,0.8
22577, <=50K, <=50K,0.96
29606, <=50K, >50K,0.6
19992, <=50K, <=50K,1.0
13851, <=50K, <=50K,0.96
17525, <=50K, <=50K,0.8
1891, <=50K, <=50K,0.68
8433, <=50K, <=50K,0.96
12839, <=50K, <=50K,0.96
6393, >50K, <=50K,0.88
26892, >50K, <=50K,0.64
4942, >50K, <=50K,0.76
25969, <=50K, <=50K,1.0
17674, <=50K, <=50K,1.0
21407, <=50K, <=50K,0.72
5550, <=50K, >50K,0.56
20460, <=50K, <=50K,0.68
10079, <=50K, <=50K,0.88
23415, <=50K, <=50K,0.96
12892, <=50K, <=50K,0.84
31324, <=50K, <=50K,0.96
31260, <=50K, <=50K,0.92
23482, <=50K, <=50K,1.0
8311, <=50K, <=50K,1.0
7166, <=50K, <=50K,1.0
19161, <=50K, >50K,0.52
8644, >50K, <=50K,0.64
17158, <=50K, <=50K,0.64
25370, >50K, <=50K,0.68
5430, >50K, <=50K,0.76
13064, <=50K, <=50K,0.84
15234, <=50K, <=50K,0.88
28042, <=50K, <=50K,0.76
29902, >50K, <=50K,0.72
28488, <=50K, <=50K,0.56
21776, <=50K, <=50K,0.52
30689, >50K, <=50K,0.88
16680, <=50K, <=50K,1.0
18620, <=50K, <=50K,0.8
10862, <=50K, <=50K,0.96
11217, <=50K, >50K,0.52
647, <=50K, <=50K,0.96
16237, <=50K, <=50K,0.96
28127, >50K, >50K,0.84
204, <=50K, <=50K,0.88
2327, <=50K, <=50K,0.96
5303, <=50K, <=50K,1.0
24872, <=50K, <=50K,0.92
23737, >50K, >50K,0.76
31378, <=50K, <=50K,0.64
15060, <=50K, <=50K,0.96
2402, <=50K, <=50K,1.0
20946, <=50K, <=50K,1.0
24489, <=50K, <=50K,0.92
4426, <=50K, <=50K,0.6
12802, <=50K, <=50K,1.0
7263, <=50K, <=50K,0.96
1871, <=50K, <=50K,0.88
12778, <=50K, <=50K,0.88
2096, >50K, <=50K,0.68
7291, >50K, >50K,0.52
1764, <=50K, <=50K,1.0
21632, <=50K, <=50K,0.64
9609, <=50K, <=50K,0.76
3251, <=50K, <=50K,0.8
2321, <=50K, <=50K,0.96
28411, <=50K, <=50K,1.0
24338, <=50K, <=50K,0.88
26349, >50K, <=50K,0.6
31689, >50K, >50K,0.6
3343, <=50K, <=50K,0.96
3196, <=50K, <=50K,0.84
25772, <=50K, <=50K,0.92
25312, >50K, <=50K,0.6
305, <=50K, <=50K,0.8
25132, <=50K, <=50K,1.0
23529, >50K, <=50K,0.64
20327, <=50K, <=50K,0.88
15513, <=50K, <=50K,1.0
5053, <=50K, <=50K,0.92
265, <=50K, <=50K,0.84
14594, <=50K, <=50K,0.96
15878, <=50K, >50K,0.68
12565, >50K, <=50K,0.76
14986, <=50K, <=50K,0.72
23003, >50K, >50K,0.84
1784, >50K, >50K,0.84
11441, <=50K, <=50K,0.88
25888, <=50K, <=50K,0.96
26948, <=50K, <=50K,0.96
7666, <=50K, <=50K,0.96
11414, <=50K, <=50K,1.0
27628, <=50K, <=50K,0.96
27527, <=50K, <=50K,1.0
9540, <=50K, <=50K,0.88
4741, >50K, <=50K,0.8
22696, <=50K, <=50K,0.96
3347, <=50K, <=50K,1.0
1088, <=50K, <=50K,0.84
32216, <=50K, <=50K,1.0
1125, <=50K, <=50K,0.96
10908, <=50K, <=50K,0.88
29495, <=50K, <=50K,0.88
19895, <=50K, <=50K,0.88
9227, <=50K, <=50K,0.96
23779, <=50K, <=50K,0.84
26880, <=50K, <=50K,0.72
10129, <=50K, <=50K,0.96
15874, >50K, <=50K,0.68
22473, <=50K, <=50K,1.0
20671, <=50K, <=50K,0.76
20750, <=50K, <=50K,0.96
31509, <=50K, <=50K,0.88
13364, <=50K, <=50K,1.0
3848, >50K, <=50K,0.76
16949, <=50K, <=50K,0.92
7252, <=50K, <=50K,1.0
15671, >50K, <=50K,0.56
11927, <=50K, <=50K,0.96
31679, <=50K, <=50K,1.0
12510, <=50K, <=50K,0.64
7385, <=50K, <=50K,0.96
20078, <=50K, <=50K,0.84
4399, <=50K, <=50K,0.92
31163, >50K, >50K,0.64
16590, <=50K, <=50K,0.88
5253, <=50K, <=50K,1.0
20030, <=50K, <=50K,1.0
31754, <=50K, <=50K,1.0
21538, <=50K, <=50K,0.68
13491, <=50K, <=50K,1.0
10413, <=50K, <=50K,1.0
26897, <=50K, <=50K,0.72
4632, <=50K, <=50K,1.0
6209, >50K, <=50K,0.76
28875, <=50K, <=50K,0.92
9921, >50K, <=50K,0.64
11698, <=50K, <=50K,0.96
25240, <=50K, <=50K,0.96
6226, >50K, <=50K,0.68
572, <=50K, <=50K,0.72
13090, <=50K, <=50K,0.8
15555, <=50K, <=50K,0.96
13580, <=50K, <=50K,1.0
11036, <=50K, <=50K,0.88
27892, <=50K, <=50K,1.0
14650, <=50K, <=50K,1.0
17181, <=50K, <=50K,0.88
31023, <=50K, <=50K,0.96
24931, <=50K, <=50K,0.76
6723, <=50K, <=50K,0.76
9938, <=50K, <=50K,0.68
32313, <=50K, <=50K,0.84
18823, <=50K, <=50K,0.88
24484, >50K, <=50K,0.72
11994, <=50K, <=50K,0.52
24752, <=50K, <=50K,0.92
17301, <=50K, <=50K,0.92
29409, <=50K, <=50K,0.96
5962, <=50K, <=50K,0.8
9081, <=50K, <=50K,1.0
3056, <=50K, <=50K,0.72
6772, <=50K, <=50K,1.0
31435, >50K, >50K,0.84
9533, <=50K, <=50K,0.76
23355, >50K, >50K,0.52
25275, >50K, <=50K,0.56
3391, >50K, <=50K,0.52
7707, <=50K, <=50K,0.72
8703, <=50K, <=50K,0.84
32270, <=50K, <=50K,0.92
3793, <=50K, <=50K,0.64
31881, <=50K, <=50K,0.84
31713, <=50K, <=50K,0.8
4409, <=50K, <=50K,0.76
29114, >50K, >50K,0.6
18533, <=50K, <=50K,0.84
12717, <=50K, <=50K,0.76
14464, <=50K, <=50K,1.0
22718, <=50K, <=50K,1.0
2653, >50K, >50K,0.72
10910, >50K, <=50K,0.72
21889, <=50K, <=50K,0.96
10191, <=50K, <=50K,0.88
26735, <=50K, <=50K,0.72
6918, <=50K, <=50K,1.0
16009, <=50K, <=50K,0.76
8875, >50K, <=50K,0.96
6173, <=50K, <=50K,0.96
30558, <=50K, <=50K,0.88
10342, <=50K, <=50K,1.0
15380, <=50K, <=50K,1.0
900, <=50K, <=50K,0.76
17596, <=50K, <=50K,1.0
20706, <=50K, >50K,0.56
19164, <=50K, <=50K,1.0
10347, <=50K, <=50K,1.0
28638, <=50K, <=50K,0.92
20126, <=50K, <=50K,0.64
9734, <=50K, <=50K,0.96
12475, <=50K, <=50K,0.88
5157, <=50K, <=50K,0.88
27716, <=50K, <=50K,0.96
30625, <=50K, <=50K,0.92
18110, <=50K, <=50K,0.8
10589, <=50K, <=50K,0.96
32020, <=50K, <=50K,0.92
7545, <=50K, <=50K,0.92
19683, <=50K, <=50K,0.76
3476, >50K, <=50K,0.56
15646, <=50K, <=50K,0.96
3195, <=50K, <=50K,0.96
5177, >50K, <=50K,0.84
9091, <=50K, <=50K,0.96
18754, <=50K, <=50K,1.0
23502, >50K, <=50K,0.56
5317, <=50K, <=50K,0.92
27829, <=50K, <=50K,1.0
22757, <=50K, <=50K,0.88
24421, <=50K, <=50K,0.96
4724, <=50K, <=50K,0.72
11499, <=50K, >50K,0.6
21623, <=50K, <=50K,0.56
16821, <=50K, <=50K,1.0
11233, <=50K, <=50K,0.64
7724, <=50K, <=50K,0.96
1869, <=50K, <=50K,0.96
7598, <=50K, <=50K,0.88
28577, <=50K, <=50K,0.96
26064, <=50K, <=50K,0.76
23999, >50K, <=50K,0.56
4974, <=50K, <=50K,0.72
4005, >50K, <=50K,0.68
31290, <=50K, <=50K,0.84
14000, <=50K, <=50K,0.88
14895, >50K, <=50K,0.8
5306, <=50K, <=50K,0.8
18775, <=50K, <=50K,0.84
8691, <=50K, <=50K,0.96
32213, <=50K, <=50K,0.84
22184, <=50K, <=50K,0.84
9078, <=50K, <=50K,1.0
26008, <=50K, >50K,0.56
3014, >50K, <=50K,0.6
26379, <=50K, <=50K,0.56
13716, <=50K, <=50K,1.0
24255, <=50K, <=50K,0.72
21254, <=50K, <=50K,0.96
14264, >50K, <=50K,0.56
20122, <=50K, <=50K,0.96
15, >50K, <=50K,0.68
6970, <=50K, >50K,0.52
22614, >50K, <=50K,0.8
6903, <=50K, <=50K,1.0
26111, >50K, <=50K,0.56
9873, <=50K, <=50K,0.92
22062, <=50K, <=50K,0.72
29918, <=50K, <=50K,0.96
3714, <=50K, <=50K,0.96
4097, >50K, <=50K,0.76
21754, <=50K, <=50K,0.92
13758, <=50K, <=50K,0.96
26761, <=50K, <=50K,0.88
31155, <=50K, <=50K,1.0
2261, <=50K, <=50K,1.0
14745, <=50K, <=50K,0.76
22499, <=50K, >50K,0.56
2788, <=50K, <=50K,1.0
31840, <=50K, <=50K,0.96
8116, <=50K, <=50K,1.0
1589, <=50K, <=50K,1.0
22006, >50K, <=50K,0.72
25231, <=50K, <=50K,0.76
11337, <=50K, <=50K,0.88
11749, <=50K, <=50K,0.96
9205, >50K, >50K,0.68
2564, <=50K, <=50K,0.96
11716, <=50K, <=50K,1.0
5707, <=50K, <=50K,0.96
17184, <=50K, <=50K,0.92
16154, <=50K, <=50K,0.8
30292, <=50K, <=50K,1.0
10941, <=50K, <=50K,0.96
32099, >50K, <=50K,0.68
2646, <=50K, <=50K,0.68
27566, <=50K, <=50K,0.96
12681, >50K, <=50K,0.52
23584, <=50K, <=50K,0.8
5504, <=50K, <=50K,1.0
14573, <=50K, <=50K,0.92
24681, <=50K, <=50K,0.6
2008, <=50K, <=50K,0.88
26117, <=50K, <=50K,0.96
